GNIS ID,Municipality Name,Municipality Type,2010 Muni Population,2010 Muni Housing Units,Muni Area (sq mi),County,REDC Region,# Cable Providers,# Hse Units Cable,% Hse Units Cable,# of DSL Providers,# Hse Units DSL,% Hse Units DSL,# Fiber Providers,# Hse Units Fiber,% Hse Units Fiber,# Wireline Providers,# Hse Units Wireline,% Hse Units Wireline,# Wireless Providers,# Hse Units Wireless,% Hse Units Wireless,# Satellite Providers
969965,Carthage,Village,"3,747","1,616",2.6,Jefferson,North Country Region,1,"1,500",93,1,"1,500",93,0,0,0,2,"1,500",93,3,"1,500",93,4
945970,Cassadaga,Village,634,340,1.1,Chautauqua,Western NY Region,1,320,94,1,320,94,0,0,0,2,320,94,3,320,94,4
978798,Castile,Town,"2,906","1,738",38.5,Wyoming,Finger Lakes Region,1,"1,500",86,1,"1,300",75,1,0,0,3,"1,600",92,3,"1,600",92,4
969967,Castleton-on-Hudson,Village,"1,473",619,0.9,Rensselaer,Capital Region,1,600,97,1,600,97,0,0,0,2,600,97,5,600,97,4
946006,Castorland,Village,351,137,0.3,Lewis,North Country Region,1,130,95,1,130,95,0,0,0,2,130,95,3,130,95,4
978799,Catharine,Town,"1,762",825,33.4,Schuyler,Southern Tier Region,2,710,86,2,790,96,2,350,42,5,790,96,5,800,97,4
978800,Catlin,Town,"2,618","1,119",38,Chemung,Southern Tier Region,1,860,77,1,680,61,1,0,0,3,990,88,4,"1,000",89,4
978801,Cato,Town,"2,537","1,285",36.2,Cayuga,Central NY Region,1,"1,000",78,2,910,71,1,0,0,4,"1,200",93,6,"1,200",93,4
978802,Caton,Town,"2,179",891,37.9,Steuben,Southern Tier Region,1,610,68,1,280,31,0,0,0,2,680,76,4,840,94,4
978803,Catskill,Town,"11,775","6,112",64,Greene,Capital Region,2,"5,900",97,1,"5,400",88,2,0,0,4,"5,900",97,7,"5,900",97,4
946066,Cattaraugus,Village,"1,002",481,1.1,Cattaraugus,Western NY Region,1,460,96,0,0,0,0,0,0,1,460,96,2,460,96,4
978804,Cattaraugus Reservation,Tribal Community,"2,185",865,34.5,Cattaraugus,Western NY Region,1,200,23,1,510,59,0,0,0,2,550,64,6,830,96,4
946081,Cayuga,Village,549,253,1.4,Cayuga,Central NY Region,1,240,95,1,230,91,0,0,0,2,240,95,4,240,95,4
969981,Cayuga Heights,Village,"3,729","1,663",1.8,Tompkins,Southern Tier Region,1,"1,600",96,1,"1,600",96,1,0,0,3,"1,600",96,5,"1,600",96,4
978805,Cayuta,Town,556,242,19.8,Schuyler,Southern Tier Region,1,160,66,3,210,87,2,60,25,5,220,91,5,230,95,4
978806,Cazenovia,Town,"7,086","2,894",51.6,Madison,Central NY Region,1,"2,600",90,2,"2,700",93,1,0,0,4,"2,800",97,6,"2,800",97,4
946156,Cedarhurst,Village,"6,592","2,375",0.7,Nassau,Long Island Region,1,"2,300",97,2,"2,300",97,3,"2,300",97,5,"2,300",97,4,"2,300",97,4
946168,Celoron,Village,"1,112",537,0.8,Chautauqua,Western NY Region,1,520,97,2,260,48,0,0,0,3,520,97,3,520,97,4
978807,Centerville,Town,822,470,35.5,Allegany,Western NY Region,0,0,0,2,410,87,0,0,0,2,410,87,3,450,96,4
946322,Central Square,Village,"1,848",898,2,Oswego,Central NY Region,1,870,97,1,830,92,1,0,0,3,870,97,5,870,97,4
946329,Centre Island,Village,410,232,1.1,Nassau,Long Island Region,1,220,95,1,190,82,1,220,95,2,220,95,4,210,91,4
978808,Champion,Town,"4,494","1,967",44.9,Jefferson,North Country Region,1,"1,600",81,1,"1,600",81,0,0,0,2,"1,700",86,4,"1,900",97,4
978809,Champlain,Town,"5,754","2,878",58.8,Clinton,North Country Region,1,"2,700",94,2,"2,700",94,3,10,0,4,"2,700",94,3,"2,700",94,4
978810,Charleston,Town,"1,373",607,42.8,Montgomery,Mohawk Valley Region,0,0,0,1,290,48,0,0,0,1,290,48,4,580,96,4
978811,Charlotte,Town,"1,729",802,36.6,Chautauqua,Western NY Region,1,250,31,2,710,89,2,0,0,5,720,90,4,770,96,4
978812,Charlton,Town,"4,133","1,610",32.7,Saratoga,Capital Region,1,"1,500",93,1,"1,100",68,0,0,0,2,"1,500",93,4,"1,500",93,4
978813,Chateaugay,Town,"2,155",967,49.8,Franklin,North Country Region,1,540,56,1,830,86,0,0,0,2,840,87,3,930,96,4
978814,Chatham,Town,"4,128","2,262",53.4,Columbia,Capital Region,1,70,3,2,"2,100",93,0,0,0,3,"2,100",93,5,"2,100",93,4
969990,Chaumont,Village,624,292,1.1,Jefferson,North Country Region,1,280,96,1,280,96,0,0,0,2,280,96,4,280,96,4
978815,Chautauqua,Town,"4,464","4,507",74.4,Chautauqua,Western NY Region,1,"4,000",89,2,"3,400",75,2,0,0,5,"4,300",95,3,"4,300",95,4
978816,Chazy,Town,"4,284","2,016",61.3,Clinton,North Country Region,2,"1,700",84,1,"1,900",94,2,"1,600",79,4,"1,900",94,5,"1,900",94,4
978817,Cheektowaga,Town,"88,226","41,892",29.6,Erie,Western NY Region,1,"40,600",97,1,"38,600",92,4,"4,800",11,5,"40,600",97,6,"40,600",97,4
978818,Chemung,Town,"2,563","1,086",50.1,Chemung,Southern Tier Region,1,820,76,2,720,66,0,0,0,3,990,91,5,"1,000",92,4
978819,Chenango,Town,"11,252","4,857",34.3,Broome,Southern Tier Region,1,"4,700",97,2,"4,500",93,4,0,0,7,"4,700",97,5,"4,700",97,4
978820,Cherry Creek,Town,"1,118",586,36.6,Chautauqua,Western NY Region,1,350,60,1,20,3,0,0,0,2,400,68,3,560,96,4
978821,Cherry Valley,Town,"1,223",689,40.7,Otsego,Mohawk Valley Region,1,490,71,1,0,0,0,0,0,2,490,71,5,660,96,4
978822,Chester,Town,"11,981","4,372",25.2,Orange,Mid-Hudson Region,2,"4,200",96,2,"4,200",96,2,0,0,6,"4,200",96,4,"4,200",96,4
978823,Chester,Town,"3,355","2,717",86.8,Warren,Capital Region,1,"2,200",81,1,"2,500",92,1,0,0,3,"2,600",96,3,"2,500",92,4
978824,Chesterfield,Town,"2,445","1,443",104.8,Essex,North Country Region,1,"1,100",76,1,"1,200",83,0,0,0,2,"1,300",90,5,"1,300",90,4
979942,Chestnut Ridge,Village,"7,916","2,796",4.9,Rockland,Mid-Hudson Region,1,"2,700",97,2,"2,700",97,4,"2,700",97,6,"2,700",97,4,"2,700",97,4
978825,Chili,Town,"28,625","11,685",39.9,Monroe,Finger Lakes Region,1,"11,300",97,1,"11,200",96,4,0,0,6,"11,300",97,5,"11,300",97,4
969996,Chittenango,Village,"5,081","2,085",2.5,Madison,Central NY Region,1,"2,000",96,1,"2,000",96,0,0,0,2,"2,000",96,5,"2,000",96,4
946690,Churchville,Village,"1,961",851,1.2,Monroe,Finger Lakes Region,1,820,96,1,820,96,1,0,0,3,820,96,5,820,96,4
978826,Cicero,Town,"31,632","12,947",48.6,Onondaga,Central NY Region,1,"12,500",97,2,"10,500",81,5,"10,400",80,7,"12,500",97,6,"12,500",97,4
978827,Cincinnatus,Town,"1,056",503,25.4,Cortland,Central NY Region,1,390,78,1,480,95,0,0,0,2,480,95,2,480,95,4
978828,Clare,Town,105,122,96.5,St. Lawrence,North Country Region,0,0,0,2,20,16,1,40,33,3,50,41,2,110,90,4
978829,Clarence,Town,"30,673","11,788",53.7,Erie,Western NY Region,1,"11,400",97,1,"10,800",92,3,"1,100",9,4,"11,400",97,6,"11,400",97,4
978830,Clarendon,Town,"3,648","1,472",35.2,Orleans,Finger Lakes Region,1,"1,400",95,2,"1,200",82,0,0,0,3,"1,400",95,5,"1,400",95,4
978831,Clarkson,Town,"6,736","2,529",33.2,Monroe,Finger Lakes Region,1,"2,400",95,2,"2,100",83,0,0,0,3,"2,400",95,5,"2,400",95,4
978832,Clarkstown,Town,"84,187","30,314",47.1,Rockland,Mid-Hudson Region,1,"29,400",97,2,"28,400",94,5,"28,800",95,7,"29,400",97,4,"29,400",97,4
978833,Clarksville,Town,"1,161",953,36.4,Allegany,Western NY Region,1,350,37,1,420,44,0,0,0,2,630,66,4,900,94,4
978834,Claverack,Town,"6,021","2,960",47.9,Columbia,Capital Region,1,"2,500",84,2,"2,200",74,1,0,0,3,"2,600",88,7,"2,800",95,4
978835,Clay,Town,"58,206","24,195",49,Onondaga,Central NY Region,1,"23,400",97,2,"15,500",64,5,"21,700",90,7,"23,400",97,6,"23,400",97,4
978836,Clayton,Town,"5,153","3,561",104,Jefferson,North Country Region,1,"2,600",73,2,"2,600",73,1,"1,100",31,4,"2,900",81,4,"3,300",93,4
946810,Clayville,Village,350,169,0.4,Oneida,Mohawk Valley Region,1,160,95,1,160,95,0,0,0,2,160,95,4,160,95,4
978837,Clermont,Town,"1,965",866,19.2,Columbia,Capital Region,3,80,9,2,840,97,2,620,72,5,840,97,7,840,97,4
946846,Cleveland,Village,750,324,1.1,Oswego,Central NY Region,1,310,96,1,0,0,0,0,0,2,310,96,6,310,96,4
978838,Clifton,Town,751,881,150.3,St. Lawrence,North Country Region,0,0,0,0,0,0,1,490,56,1,490,56,2,820,93,4
978839,Clifton Park,Town,"36,705","14,737",50.1,Saratoga,Capital Region,1,"14,200",96,1,"13,700",93,3,0,0,5,"14,200",96,6,"14,200",96,4
970014,Clifton Springs,Village,"2,127",914,1.5,Ontario,Finger Lakes Region,1,880,96,1,880,96,1,0,0,3,880,96,5,880,96,4
978840,Clinton,Town,737,395,67.1,Clinton,North Country Region,0,0,0,1,150,38,1,0,0,2,150,38,4,380,96,4
978841,Clinton,Town,"4,312","1,915",38.8,Dutchess,Mid-Hudson Region,2,"1,800",94,2,"1,600",84,1,0,0,5,"1,800",94,5,"1,800",94,4
946885,Clinton,Village,"1,942","1,004",0.6,Oneida,Mohawk Valley Region,1,970,97,1,920,92,2,0,0,4,970,97,4,970,97,4
946941,Clyde,Village,"2,093",910,2.3,Wayne,Finger Lakes Region,1,880,97,1,880,97,1,0,0,3,880,97,4,880,97,4
978842,Clymer,Town,"1,698",611,36.3,Chautauqua,Western NY Region,1,450,74,2,520,85,0,0,0,3,560,92,3,590,97,4
978843,Cobleskill,Town,"6,625","2,691",30.7,Schoharie,Mohawk Valley Region,1,"2,400",89,2,"2,500",93,1,0,0,3,"2,500",93,4,"2,600",97,4
978844,Cochecton,Town,"1,372","1,114",37.1,Sullivan,Mid-Hudson Region,1,920,83,1,270,24,0,0,0,2,"1,000",90,2,"1,000",90,4
978845,Coeymans,Town,"7,418","3,315",53,Albany,Capital Region,2,"3,000",90,2,"2,900",87,2,"1,800",54,4,"3,000",90,5,"3,200",97,4
978846,Cohocton,Town,"2,561","1,232",56.2,Steuben,Southern Tier Region,1,840,68,1,"1,000",81,0,0,0,2,"1,000",81,3,"1,100",89,4
978847,Cohoes,City,"16,168","8,394",4.3,Albany,Capital Region,1,"8,100",96,1,"8,000",95,3,0,0,5,"8,100",96,6,"8,100",96,4
978848,Colchester,Town,"2,077","1,822",142.1,Delaware,Southern Tier Region,2,930,51,2,"1,400",77,0,0,0,4,"1,600",88,4,"1,700",93,4
947025,Cold Brook,Village,329,134,0.4,Herkimer,Mohawk Valley Region,1,120,90,1,120,90,0,0,0,2,120,90,2,120,90,4
978849,Colden,Town,"3,265","1,404",35.7,Erie,Western NY Region,1,"1,300",93,1,"1,100",78,0,0,0,2,"1,300",93,5,"1,300",93,4
978850,Cold Spring,Town,663,374,64.3,Cattaraugus,Western NY Region,1,0,0,2,140,37,0,0,0,3,140,37,3,360,96,4
970022,Cold Spring,Village,"2,013",981,0.6,Putnam,Mid-Hudson Region,1,950,97,1,950,97,1,0,0,3,950,97,4,950,97,4
978851,Colesville,Town,"5,232","2,302",79.2,Broome,Southern Tier Region,2,"1,500",65,3,"2,100",91,0,0,0,5,"2,200",96,5,"2,200",96,4
978852,Collins,Town,"6,601","1,889",63.2,Erie,Western NY Region,1,"1,400",74,1,"1,500",79,1,0,0,3,"1,700",90,4,"1,800",95,4
978853,Colonie,Town,"81,591","34,620",57.8,Albany,Capital Region,1,"33,500",97,1,"27,400",79,6,"25,300",73,7,"33,500",97,6,"33,500",97,4
978854,Colton,Town,"1,451","1,370",254.4,St. Lawrence,North Country Region,1,920,67,1,10,1,1,0,0,3,920,67,2,"1,300",95,4
978855,Columbia,Town,"1,580",675,35,Herkimer,Mohawk Valley Region,1,280,41,2,390,58,0,0,0,3,510,76,4,650,96,4
978856,Columbus,Town,975,487,37.4,Chenango,Southern Tier Region,1,20,4,1,470,97,0,0,0,2,470,97,3,470,97,4
978857,Concord,Town,"8,494","3,677",70.3,Erie,Western NY Region,1,"2,600",71,1,"3,100",84,1,0,0,3,"3,200",87,5,"3,500",95,4
978858,Conesus,Town,"2,473","1,257",35.8,Livingston,Finger Lakes Region,1,910,72,1,"1,100",88,0,0,0,2,"1,100",88,3,"1,200",95,4
978859,Conesville,Town,734,787,39.8,Schoharie,Mohawk Valley Region,1,120,15,1,150,19,0,0,0,2,270,34,7,750,95,4
978860,Conewango,Town,"1,857",635,36.1,Cattaraugus,Western NY Region,1,220,35,1,360,57,0,0,0,2,410,65,3,610,96,4
978861,Conklin,Town,"5,441","2,337",24.9,Broome,Southern Tier Region,1,"2,200",94,2,"2,100",90,4,0,0,7,"2,200",94,5,"2,200",94,4
978862,Conquest,Town,"1,819",842,36.3,Cayuga,Central NY Region,0,0,0,3,810,96,0,0,0,3,810,96,4,810,96,4
978863,Constable,Town,"1,566",695,32.8,Franklin,North Country Region,1,480,69,1,610,88,0,0,0,2,630,91,3,670,96,4
947326,Constableville,Village,242,134,1.1,Lewis,North Country Region,1,120,90,1,120,90,0,0,0,2,120,90,2,120,90,4
978864,Constantia,Town,"4,973","2,343",99.6,Oswego,Central NY Region,1,"2,100",90,3,"1,100",47,0,0,0,4,"2,200",94,6,"2,200",94,4
979671,Cooperstown,Village,"1,852","1,166",1.8,Otsego,Mohawk Valley Region,1,"1,100",94,1,"1,100",94,0,0,0,2,"1,100",94,5,"1,100",94,4
978865,Copake,Town,"3,615","2,382",42.1,Columbia,Capital Region,0,0,0,1,"2,200",92,0,0,0,1,"2,200",92,6,"2,300",97,4
947413,Copenhagen,Village,801,371,1.2,Lewis,North Country Region,1,350,94,0,0,0,0,0,0,1,350,94,3,350,94,4
947446,Corfu,Village,709,333,1,Genesee,Finger Lakes Region,1,320,96,1,320,96,0,0,0,2,320,96,5,320,96,4
978866,Corinth,Town,"6,531","3,016",59.1,Saratoga,Capital Region,1,"2,900",96,2,"2,300",76,1,0,0,4,"2,900",96,6,"2,800",93,4
978867,Corning,City,"11,183","5,519",3.3,Steuben,Southern Tier Region,1,"5,300",96,1,"5,300",96,3,0,0,5,"5,300",96,4,"5,300",96,4
978868,Corning,Town,"6,270","2,707",37.2,Steuben,Southern Tier Region,1,"2,500",92,1,"2,400",89,3,0,0,5,"2,600",96,4,"2,600",96,4
978869,Cornwall,Town,"12,646","5,136",27.9,Orange,Mid-Hudson Region,2,"4,900",95,2,"4,400",86,3,"4,200",82,6,"4,900",95,4,"4,900",95,4
979684,Cornwall-on-Hudson,Village,"3,018","1,269",2.4,Orange,Mid-Hudson Region,1,"1,200",95,1,"1,100",87,1,"1,200",95,2,"1,200",95,4,"1,200",95,4
978870,Cortland,City,"19,204","7,433",3.9,Cortland,Central NY Region,1,"7,200",97,1,"7,200",97,2,0,0,4,"7,200",97,3,"7,200",97,4
978871,Cortlandt,Town,"41,592","15,962",50.4,Westchester,Mid-Hudson Region,1,"15,400",96,2,"14,300",90,4,"14,200",89,6,"15,400",96,4,"15,400",96,4
978872,Cortlandville,Town,"8,509","3,587",50,Cortland,Central NY Region,2,"3,300",92,1,"3,300",92,2,0,0,5,"3,400",95,4,"3,400",95,4
947571,Cove Neck,Village,286,148,1.4,Nassau,Long Island Region,1,140,95,1,130,88,1,140,95,2,140,95,4,130,88,4
978873,Coventry,Town,"1,655",790,48.6,Chenango,Southern Tier Region,1,290,37,2,750,95,0,0,0,3,750,95,4,760,96,4
978874,Covert,Town,"2,154","1,284",37.6,Seneca,Finger Lakes Region,1,580,45,1,"1,200",93,1,0,0,3,"1,200",93,5,"1,200",93,4
978875,Covington,Town,"1,232",502,26.2,Wyoming,Finger Lakes Region,1,390,78,1,350,70,1,0,0,3,460,92,4,480,96,4
978876,Coxsackie,Town,"8,918","2,997",38.4,Greene,Capital Region,1,"2,900",97,2,"2,700",90,2,"1,500",50,3,"2,900",97,5,"2,900",97,4
978877,Crawford,Town,"9,316","3,475",40.1,Orange,Mid-Hudson Region,1,"3,300",95,2,"3,300",95,1,0,0,4,"3,300",95,4,"3,300",95,4
978878,Croghan,Town,"3,093","1,629",181.6,Lewis,North Country Region,1,750,46,2,"1,100",68,0,0,0,3,"1,200",74,3,"1,400",86,4
947832,Croton-on-Hudson,Village,"8,070","3,123",10.7,Westchester,Mid-Hudson Region,1,"3,000",96,2,"2,700",86,2,"2,600",83,4,"3,000",96,4,"3,000",96,4
978879,Crown Point,Town,"2,024","1,126",81.6,Essex,North Country Region,1,810,72,1,"1,000",89,1,0,0,3,"1,000",89,2,"1,000",89,4
978880,Cuba,Town,"3,243","1,771",36.4,Allegany,Western NY Region,1,"1,400",79,1,"1,500",85,1,0,0,3,"1,600",90,4,"1,700",96,4
978881,Cuyler,Town,980,442,43.5,Cortland,Central NY Region,1,310,70,1,330,75,0,0,0,2,400,90,3,420,95,4
978882,Danby,Town,"3,329","1,480",53.8,Tompkins,Southern Tier Region,2,"1,200",81,2,900,61,1,0,0,4,"1,300",88,6,"1,400",95,4
978883,Dannemora,Town,"4,898","1,294",65.4,Clinton,North Country Region,1,"1,000",77,2,140,11,0,0,0,3,"1,000",77,5,"1,000",77,4
978884,Dansville,Town,"1,842",897,48.1,Steuben,Southern Tier Region,1,510,57,2,300,33,1,0,0,4,560,62,4,870,97,4
948024,Dansville,Village,"4,719","2,166",2.6,Livingston,Finger Lakes Region,1,"2,100",97,1,"2,100",97,1,0,0,3,"2,100",97,3,"2,100",97,4
978885,Danube,Town,"1,039",451,29.2,Herkimer,Mohawk Valley Region,1,90,20,2,200,44,0,0,0,3,200,44,4,430,95,4
978886,Darien,Town,"3,158","1,261",47.7,Genesee,Finger Lakes Region,1,"1,200",95,2,"1,100",87,0,0,0,3,"1,200",95,5,"1,200",95,4
978887,Davenport,Town,"2,965","1,604",52.4,Delaware,Southern Tier Region,1,"1,100",69,2,280,17,0,0,0,3,"1,200",75,5,"1,500",94,4
978888,Day,Town,856,"1,411",69.7,Saratoga,Capital Region,1,"1,200",85,1,"1,100",78,0,0,0,2,"1,300",92,3,280,20,4
978889,Dayton,Town,"1,886",830,36.3,Cattaraugus,Western NY Region,1,460,55,1,260,31,0,0,0,2,540,65,4,800,96,4
978890,Decatur,Town,353,283,20.7,Otsego,Mohawk Valley Region,1,0,0,0,0,0,0,0,0,1,0,0,5,270,95,4
978891,Deerfield,Town,"4,273","1,731",33,Oneida,Mohawk Valley Region,1,"1,600",92,2,"1,500",87,2,0,0,5,"1,600",92,5,"1,600",92,4
978892,Deerpark,Town,"7,901","3,484",68.1,Orange,Mid-Hudson Region,2,"3,200",92,1,"3,300",95,1,0,0,4,"3,300",95,4,"3,300",95,4
948249,Deferiet,Village,294,132,0.7,Jefferson,North Country Region,1,120,91,1,110,83,0,0,0,2,120,91,4,120,91,4
978893,De Kalb,Town,"2,434",965,83.1,St. Lawrence,North Country Region,1,450,47,2,750,78,0,0,0,3,770,80,2,930,96,4
948261,Delanson,Village,377,149,0.6,Schenectady,Capital Region,1,140,94,0,0,0,0,0,0,1,140,94,3,140,94,4
978894,Delaware,Town,"2,670","1,535",35.6,Sullivan,Mid-Hudson Region,1,"1,400",91,0,0,0,0,0,0,1,"1,400",91,2,"1,400",91,4
948273,Delevan,Village,"1,089",483,1,Cattaraugus,Western NY Region,1,460,95,1,380,79,0,0,0,2,460,95,2,460,95,4
978895,Delhi,Town,"5,117","1,870",64.5,Delaware,Southern Tier Region,1,"1,300",70,1,"1,800",96,1,"1,400",75,2,"1,800",96,5,"1,800",96,4
978896,Denmark,Town,"2,860","1,209",51.1,Lewis,North Country Region,1,"1,000",83,2,490,41,0,0,0,3,"1,100",91,4,"1,100",91,4
978897,Denning,Town,551,531,102.2,Ulster,Mid-Hudson Region,1,80,15,0,0,0,0,0,0,1,80,15,5,390,73,4
948333,Depew,Village,"15,303","7,017",5.1,Erie,Western NY Region,1,"6,800",97,1,"6,200",88,2,0,0,4,"6,800",97,6,"6,800",97,4
978898,De Peyster,Town,998,343,45.1,St. Lawrence,North Country Region,0,0,0,1,90,26,0,0,0,1,90,26,2,330,96,4
978899,Deposit,Town,"1,712","1,131",44.6,Delaware,Southern Tier Region,1,530,47,2,"1,000",88,0,0,0,3,"1,000",88,5,"1,000",88,4
948345,Dering Harbor,Village,11,35,0.3,Suffolk,Long Island Region,1,30,86,1,20,57,0,0,0,2,30,86,4,30,86,4
978900,DeRuyter,Town,"1,589",955,31.3,Madison,Central NY Region,1,770,81,1,900,94,0,0,0,2,900,94,3,920,96,4
978901,De Witt,Town,"25,838","10,853",33.8,Onondaga,Central NY Region,1,"10,500",97,1,"8,000",74,6,"9,200",85,7,"10,500",97,6,"10,500",97,4
948392,Dexter,Village,"1,052",457,0.7,Jefferson,North Country Region,1,440,96,1,440,96,0,0,0,2,440,96,4,440,96,4
978902,Diana,Town,"1,709","1,201",140.7,Lewis,North Country Region,1,630,52,1,820,68,0,0,0,2,860,72,2,"1,100",92,4
978903,Dickinson,Town,"5,278","2,178",4.9,Broome,Southern Tier Region,1,"2,100",96,1,"2,000",92,4,0,0,6,"2,100",96,5,"2,100",96,4
978904,Dickinson,Town,823,451,44.3,Franklin,North Country Region,1,0,0,1,0,0,1,340,75,3,340,75,2,430,95,4
978905,Dix,Town,"3,864","1,779",36.7,Schuyler,Southern Tier Region,2,"1,500",84,1,"1,300",73,3,770,43,6,"1,600",90,4,"1,700",96,4
970074,Dobbs Ferry,Village,"10,875","4,191",2.4,Westchester,Mid-Hudson Region,1,"4,000",95,2,"4,000",95,4,"3,900",93,6,"4,000",95,4,"4,000",95,4
948550,Dolgeville,Village,"2,206","1,046",1.9,Fulton,Mohawk Valley Region,1,"1,000",96,1,"1,000",96,0,0,0,2,"1,000",96,2,"1,000",96,4
978906,Dover,Town,"8,699","3,637",56.3,Dutchess,Mid-Hudson Region,1,"3,500",96,1,"3,200",88,2,0,0,4,"3,500",96,4,"3,500",96,4
978907,Dresden,Town,652,666,56.8,Washington,Capital Region,1,170,26,1,500,75,0,0,0,2,540,81,6,630,95,4
948642,Dresden,Village,308,141,0.3,Yates,Finger Lakes Region,1,130,92,1,130,92,0,0,0,2,130,92,4,130,92,4
978908,Dryden,Town,"14,435","6,418",94.1,Tompkins,Southern Tier Region,1,"5,800",90,2,"5,800",90,2,0,0,5,"6,100",95,5,"6,200",97,4
978909,Duane,Town,174,208,78.1,Franklin,North Country Region,0,0,0,1,30,14,0,0,0,1,30,14,3,190,91,4
978910,Duanesburg,Town,"6,122","2,533",72.1,Schenectady,Capital Region,1,"2,100",83,3,190,8,0,0,0,4,"2,100",83,4,"2,400",95,4
948784,Dundee,Village,"1,725",774,1.1,Yates,Finger Lakes Region,1,750,97,1,750,97,0,0,0,2,750,97,2,750,97,4
978911,Dunkirk,City,"12,563","5,993",4.5,Chautauqua,Western NY Region,1,"5,800",97,3,"5,800",97,2,0,0,5,"5,800",97,4,"5,700",95,4
978912,Dunkirk,Town,"1,318",582,6.3,Chautauqua,Western NY Region,1,560,96,3,490,84,2,150,26,5,560,96,4,550,95,4
978913,Durham,Town,"2,725","1,807",49.1,Greene,Capital Region,1,"1,700",94,1,390,22,2,0,0,3,"1,700",94,6,"1,700",94,4
978914,Eagle,Town,"1,192",564,36.5,Wyoming,Finger Lakes Region,1,360,64,1,10,2,0,0,0,2,400,71,3,540,96,4
948958,Earlville,Village,872,405,1.1,Chenango,Southern Tier Region,1,390,96,1,390,96,0,0,0,2,390,96,2,390,96,4
948967,East Aurora,Village,"6,236","2,699",2.5,Erie,Western NY Region,1,"2,600",96,1,"2,600",96,1,0,0,3,"2,600",96,4,"2,600",96,4
978915,East Bloomfield,Town,"3,634","1,487",33.3,Ontario,Finger Lakes Region,1,"1,300",87,1,"1,400",94,2,0,0,4,"1,400",94,5,"1,400",94,4
978916,Eastchester,Town,"32,363","13,747",5,Westchester,Mid-Hudson Region,2,"13,300",97,2,"13,300",97,3,"13,000",95,6,"13,300",97,4,"13,300",97,4
978917,East Fishkill,Town,"29,029","10,039",57.5,Dutchess,Mid-Hudson Region,1,"9,700",97,2,"9,400",94,2,"2,100",21,4,"9,700",97,4,"9,700",97,4
978918,East Greenbush,Town,"16,473","7,006",24.5,Rensselaer,Capital Region,1,"6,700",96,2,"6,400",91,4,0,0,7,"6,700",96,5,"6,700",96,4
978919,East Hampton,Town,"21,457","21,038",448.3,Suffolk,Long Island Region,1,"20,400",97,1,"19,300",92,3,0,0,5,"20,400",97,5,"20,200",96,4
949124,East Hills,Village,"6,955","2,301",2.3,Nassau,Long Island Region,1,"2,200",96,2,"2,200",96,3,"2,200",96,5,"2,200",96,4,"2,200",96,4
949185,East Nassau,Village,587,266,4.7,Rensselaer,Capital Region,0,0,0,1,250,94,0,0,0,1,250,94,3,250,94,4
978920,Easton,Town,"2,336","1,022",63.4,Washington,Capital Region,1,680,67,1,680,67,1,210,21,3,840,82,6,990,97,4
978921,East Otto,Town,"1,062",620,41.6,Cattaraugus,Western NY Region,0,0,0,2,10,2,0,0,0,2,10,2,4,600,97,4
949225,East Randolph,Village,620,237,1,Cattaraugus,Western NY Region,1,220,93,1,130,55,0,0,0,2,220,93,3,220,93,4
978922,East Rochester,Town,"6,587","2,992",1.3,Monroe,Finger Lakes Region,1,"2,900",97,1,"2,900",97,3,0,0,5,"2,900",97,5,"2,900",97,4
949233,East Rockaway,Village,"9,818","3,997",1.1,Nassau,Long Island Region,1,"3,800",95,2,"3,800",95,2,"3,800",95,4,"3,800",95,4,"3,800",95,4
949253,East Syracuse,Village,"3,084","1,488",1.6,Onondaga,Central NY Region,1,"1,400",94,1,"1,400",94,4,"1,400",94,5,"1,400",94,6,"1,400",94,4
949275,East Williston,Village,"2,556",864,0.6,Nassau,Long Island Region,1,830,96,2,830,96,2,820,95,4,830,96,4,830,96,4
978923,Eaton,Town,"5,255","1,941",45.5,Madison,Central NY Region,1,"1,500",77,3,"1,800",93,0,0,0,4,"1,800",93,3,"1,800",93,4
978924,Eden,Town,"7,688","3,120",39.9,Erie,Western NY Region,1,"2,900",93,1,"2,800",90,2,310,10,3,"2,900",93,6,"3,000",96,4
978925,Edinburg,Town,"1,214","1,865",65.7,Saratoga,Capital Region,1,"1,700",91,1,"1,700",91,0,0,0,2,"1,700",91,4,"1,600",86,4
978926,Edmeston,Town,"1,826",847,44.6,Otsego,Mohawk Valley Region,1,430,51,2,710,84,0,0,0,3,720,85,3,820,97,4
978927,Edwards,Town,"1,156",576,51.3,St. Lawrence,North Country Region,0,0,0,2,540,94,0,0,0,2,540,94,2,550,95,4
978928,Elba,Town,"2,370",925,35.7,Genesee,Finger Lakes Region,1,830,90,1,70,8,0,0,0,2,840,91,6,890,96,4
978929,Elbridge,Town,"5,922","2,558",38.3,Onondaga,Central NY Region,1,"2,400",94,1,"1,800",70,2,0,0,3,"2,400",94,6,"2,400",94,4
978930,Elizabethtown,Town,"1,163",791,82.2,Essex,North Country Region,1,610,77,2,350,44,2,390,49,3,610,77,3,730,92,4
978931,Ellenburg,Town,"1,743","1,015",107.3,Clinton,North Country Region,2,440,43,1,0,0,0,0,0,3,470,46,5,980,97,4
949508,Ellenville,Village,"4,135","1,845",9.2,Ulster,Mid-Hudson Region,1,"1,700",92,1,"1,700",92,1,0,0,3,"1,700",92,5,"1,700",92,4
